film,no,song,singer,lyricist,composer,duration
Ethiroli,,"""Maraththa Vachavan""",L. R. Eswari,,,03:22
Ethiroli,,"""Rajavum Vanthituvar""",L. R. Eswari,,,02:58
Ethiroli,,"""Unga Nalla Manasukku""",L. R. Eswari,,,03:54
Eththan,1,"""Mazhaiyudhir Kaalam""","Vijay Yesudas , Saindhavi",,,
Eththan,2,"""Kannadasan""","Ananthu , Solar Sai, Sree Ranjini",,,
Eththan,3,"""Ethan Kelambittanya""","M. L. R. Karthikeyan, Bhagyaraj, Ramesh",,,
Eththan,4,"""Sigappu Thamaraye""",Ananthu,,,
Eththan,5,"""Kaalayile Kan Vizicha""",Velmurugan,,,
Eththan,6,"""Jimparapara""","Taj Noor , Manthangi",,,
Eththan,7,"""Kadanai Kodutha Nanba""",Mukesh Mohamed,,,
Ettupatti Rasa,,"""Bemasena""",Deva,,,0:34
Ettupatti Rasa,,"""Ettupatti Rasa""","Napoleon , Swarnalatha",,,3:31
Ettupatti Rasa,,"""Karikalai Puttikittu""","Manivannan , Kalpana",,,2:26
Ettupatti Rasa,,"""Kaathu Adikkidhu""","Malaysia Vasudevan , S. Janaki",,,5:06
Ettupatti Rasa,,"""Lovapazham""",Manivannan,,,2:38
Ettupatti Rasa,,"""Merku Seemaiyile""","Deva, Swarnalatha",,,5:21
Ettupatti Rasa,,"""Panju Mittai""","Malaysia Vasudevan, S. Janaki",,,4:56
Ettuthikkum Para,,"""Para Para""",Mukesh,Saavee,,3:15
Ettuthikkum Para,,"""Ushrukkul Un Pera""","Anuradha Sriram , Keshav Vinod",Snehan,,4:28
Ettuthikkum Para,,"""Vaadi Chellam""","Ananthu , Suganthi",Uma Devi,,4:55
Ettuthikkum Para,,Total length:,,12:38,,
Evargal Indiyargal,,"""Periyanayaki Pettishan...""",Malaysia Vasudevan,,,
Evargal Indiyargal,,"""Ammi Mithikkanum...""","Vani Jairam , Jayachandran",,,
Evargal Indiyargal,,"""Manjakkili Vanchikodi...""","Vani Jairam, S. N. Surendar",,,
Evargal Indiyargal,,"""Ivargal Indiyargal...""","Malaysia Vasudevan, B.S Sasirekha",,,
Ezhai Padum Padu,,"""Yauvanamae Aahaa Yauvanamae""",M. L. Vasanthakumari,,,02:19
Ezhai Padum Padu,,"""Oo Kiliye Aasai Kiliye""",P. A. Periyanayaki,,,01:21
Ezhai Padum Padu,,"""Vaanamudhe Ondraai""","Thiruchi Loganathan , M. L. Vasanthakumari & P. A. Periyanayaki",,,05:28
Ezhai Padum Padu,,"""Kannan Mananilaiyai Thangame Thangam""",M. L. Vasanthakumari,,,03:25
Ezhai Padum Padu,,"""Kanivudan Thirumbiye Paarum""",P. A. Periyanayaki,,,03:12
Ezhai Padum Padu,,"""Ennaasai Paappa""",V. Nagayya,,,01:54
Ezhai Padum Padu,,"""Vidhiyin Vilaivaal Anaadhi Aanaen""",Radha Jayalakshmi,,,03:13
Ezhai Padum Padu,,"""Vaazhvu Malarndhadhuvae""",V. Nagayya,,,03:08
Ezhai Padum Padu,,"""En Bhaagyame Inimel Saubhagyame""",Radha Jayalakshmi,,,02:31
Ezhai Pangalan,,"""Thaayaaga Maaravaa""",,Panchu Arunachalam,,02:51
Ezhai Pangalan,,"""Manadhil Enna Mayakkam""",,Panchu Arunachalam,,04:54
Ezhai Pangalan,,"""Muttaiyai Vittu""",,Kannadasan,,03:22
Ezhai Pangalan,,"""Veettukku Vantha Machan""",,Vaali,,04:46
Ezhai Pangalan,,"""Vilakku Erigindradhu""",,Kannadasan,,04:53
Ezhai Pangalan,,"""Oorazhudha Verlaiyile""",,Vaali,,
Ezhavathu Manithan,,"""Aaduvome Pallu Paaduvome""",,,,
Ezhavathu Manithan,,"""Achchamillai Achchamillai""",,,,
Ezhavathu Manithan,,"""Endha Neramum""",,,,
Ezhavathu Manithan,,"""Kaakai Sirakinile Nandalala""",,,,
Ezhavathu Manithan,,"""Manadil Urudhi Vendum""",,,,
Ezhavathu Manithan,,"""Nallathor Veenaiseithe""",,,,
Ezhavathu Manithan,,"""Nenjil Uramum Inri""",,,,
Ezhavathu Manithan,,"""Odi Velaiyadu Papa""",,,,
Ezhavathu Manithan,,"""Senthamizh Naadennum""",,,,
Ezhavathu Manithan,,"""Veenaiyadi Neeyenakku""",,,,
Ezhayin Aasthi,,"""Ambuli Maamaa Ambuli Maamaa""",,,,
Ezhayin Aasthi,,"""Subha Mangalam Pongidum Naale""",,,,
Ezhayin Aasthi,,"""Kalyanam Seydhu Kolvaene""",,,,
Ezhayin Aasthi,,"""Ezhil Jyothi Vaanavaa""",,,,03:25
Ezhayin Aasthi,,"""En Kannaalaa Naan Unnai Adaindhene""",,,,
Ezhayin Aasthi,,"""Inbam Vandhenai Naadudhe""",,,,
Ezhayin Aasthi,,"""Kanavenoh Veenaanadhe""",,,,
Ezhayin Aasthi,,"""Annaiyai Pole Munnari Deivam""",,,,
Ezhumalai,,"""Chillendru""","S. P. Balasubrahmanyam , Sujatha",Vaali,,05:21
Ezhumalai,,"""Ella Malaiyilum""","Karthik , K. S. Chithra",05:28,,
Ezhumalai,,"""Lux Papa""","S. P. Balasubrahmanyam, Swarnalatha",05:07,,
Ezhumalai,,"""Maina Kunjo""","Shankar Mahadevan , Sujatha",04:23,,
Ezhumalai,,"""Un Punnagai""","Mallikarjun , Harini",Thamarai,,04:34
Ezhuthatha Sattangal,,"""Aalankatti Maamalaiyaam""","S. P. Balasubrahmanyam , S. P. Sailaja",,,
Ezhuthatha Sattangal,,"""Ezhuthaatha Sattangal""",Malaysia Vasudevan,,,
Ezhuthatha Sattangal,,"""Kannuku Azhagana Maapillai""","Malaysia Vasudevan, Vani Jairam",,,
Ezhuthatha Sattangal,,"""Then Kulathile Kulikkava""",S. Janaki,,,
Ezhuthatha Sattangal,,"""Vanthen Maathiram""","P. Jayachandran , Vani Jairam, Chorus",,,
February 14,,"""Laila Majnu""","Karthik , Sadhana Sargam",Na. Muthukumar,,
February 14,,"""Aantha Avasthai""",Shreya Ghoshal,Kabilan,,
February 14,,"""Nanba Nanba""","Bharadwaj, Karthik, Srinivas , Janani Bharadwaj",Pa. Vijay,,
February 14,,"""Un Peyarennada""",Anuradha Sriram,S. P. Hosimin,,
February 14,,"""Idhu Kathala""",Haricharan,,,
February 14,,"""Ennachu Enakku""",Shri Krishna,,,
February 14,,"""Othayya Rettaya""","Pushpavanam Kuppusamy , Anuradha Sriram",,,
February 14,,"""Jana Gana""","Arjun Thomas, Donnan, Andrea",,,
Five Star,,"""Thiru Thiruda""",,,,
Five Star,,"""Sunday""",,,,
Five Star,,"""Engirindhu Vandhayada""",,,,
Five Star,,"""Oru Manam""",,,,
Five Star,,"""Engalukku""",,,,
Five Star,,"""Rayile""",,,,
Five Star,,"""Five Star""",,,,
Galatta Kalyanam,,"""Appappa Naan""",T. M. Soundararajan,,,03:41
Galatta Kalyanam,,"""Engal Kalyanam""","T. M. Soundararajan, P. B. Sreenivas , P. Susheela , L. R. Eswari , C. S. Ganesh",,,05:07
Galatta Kalyanam,,"""Mella Varum Kaatru""","T. M. Soundararajan, P. Susheela",,,03:39
Galatta Kalyanam,,"""Nalla Idam""","T. M. Soundararajan, P. Susheela",,,04:31
Galatta Kalyanam,,"""Uravinil""","C. S. Ganesh, L. R. Eswari",,,03:16
Gambeeram,,"""Naanaga Naan""","Sujatha , Vijay Yesudas",Kabilan,,
Gambeeram,,"""Oru Chinna Vennila""",Kalpana Raghavendar,,,
Gambeeram,,"""Kannin Maniye""","S. P. Balasubrahmanyam , Baby Vaishali",Pa. Vijay,,
Gambeeram,,"""Sembaruthipoove""","Srinivas , Ganga",,,
Gambeeram,,"""Sambalkadu""",Sangeetha,,,
Gandhi Pirantha Mann,,"""Aalamarathula""",S. P. Balasubrahmanyam,R. Sundarrajan,,5:13
Gandhi Pirantha Mann,,"""Indian Endru""",S. P. Balasubrahmanyam,4:52,,
Gandhi Pirantha Mann,,"""Ottagathile Nee""","S. Janaki , Mano",5:10,,
Gandhi Pirantha Mann,,"""Pattam Pattam""","K. S. Chithra , S. P. Balasubrahmanyam",Gangai Amaran,,4:45
Gandhi Pirantha Mann,,"""Pooparikira""","S. P. Balasubrahmanyam, K. S. Chithra",4:34,,
Gandhi Pirantha Mann,,"""Thalaiva Naan""","S. Janaki, S. Kuzhanthaivelu",R. Sundarrajan,,4:33
Ganga Gowri,,"""Aadhi Baghavan""",Sirkazhi Govindarajan,,,
Ganga Gowri,,"""Pichandi Thannai""",T. M. Soundararajan,,,
Ganga Gowri,,"""Azhagiya Megangal""",S. Janaki,,,
Ganga Gowri,,"""Andharangam Naan Ariven""","P. B. Sreenivas , S. Janaki",,,
Ganga Gowri,,"""Ennamma Annamma""","T. M. Soundararajan, L. R. Eswari",,,
Ganga Gowri,,"""Aadhi Naathan Kedkinraan""","T. M. Soundararajan, S. Janaki",,,
Ganga Gowri,,"""Adi Yendiamma""","S. Janaki, L. R. Eswari",,,
Ganga Gowri,,"""Bull Bull Thara""",Mano,,,4:53
Ganga Gowri,,"""Kadhal Solla Vandhen""","P. Unni Krishnan , Sujatha Mohan",,,4:51
Ganga Gowri,,"""Kadhalare Kadhalare""",S. P. Balasubrahmanyam,,,4:55
Ganga Gowri,,"""Margazhi Neerada""","Mano, Sirpy",,,5:14
Ganga Gowri,,"""Poonthendrale Velaiyadu""","Mano, Sujatha Mohan",,,5:00
Ganga Gowri,,"""Poovukkul Puthaiyal""",Mano,,,4:26
Ganga Gowri,,"""Kadhalare Kadhalare"" (film version)",Sirpy,,,4:55
Geetha Gandhi,,"""Manamohana Das Gandhi""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Sonnarodi Gandhi Mahatma""",,,,
Geetha Gandhi,,"""Enakku Vayasu Enna Theriyuma""",Baby Padma,,,
Geetha Gandhi,,"""Karuvizhi Edhaiyum Paaraadhu""",,,,
Geetha Gandhi,,"""Aandev Pazhani""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Kandu Malar Ennai""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Parinile Seerongum Nadu Nam India""",K. S. Angamuthu,,,
Geetha Gandhi,,"""Jagame Mayakkam En""",K. S. Angamuthu,,,
Geetha Gandhi,,"""Gandhi Thatha""",Baby Padma,,,
Geetha Gandhi,,"""Aaduvom Geetham Paduvom""",K. S. Angamuthu,,,
Geetha Gandhi,,"""Mannan Chandran""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Unnaiyallal Gathi Edhu""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Kannan Geethopadesam Seidha""",P. A. Periyanayaki,,,
Geetha Gandhi,,"""Pudhu Juram Pudhu Juram Adhu""",Dance Music,,,
Geetha Gandhi,,"""Jeevathmakkal Ithayajothi""",,,,
Geetha Gandhi,,"""Sathyamidho Sathyamidho Sathyamidho""",,,,
General Chakravarthi,,"""Azhagiya Kiligalin """,Vani Jairam,,,04:01
General Chakravarthi,,"""Oh my dear doctor""","T. M. Soundararajan , P. Susheela",,,04:33
General Chakravarthi,,"""Nee Enna Kannana""",T. M. Soundararajan,,,03:52
General Chakravarthi,,"""Kingini Kingini Kadhal""",L. R. Eswari,,,03:02
General Chakravarthi,,"""Who Is The Black Sheep""",T. M. Soundararajan,,,04:35
Girivalam,,"""Adiyae Aandaal Amma""","Ranjith , Anuradha Sriram",Piraisoodan,,
Girivalam,,"""Mayavarathu Kaara""","Shoba Chandrasekhar , Karthik",Snehan,,
Girivalam,,"""Nee Yaaro Nee Yaaro""","Tippu , Harini",Pa. Vijay,,
Girivalam,,"""Solvaaya Solvaaya""","Ranjith, Anuradha Sriram, Sridevi",05:11,,
Girivalam,,"""Meesa Vecha Paiya""",Anuradha Sriram,Snehan,,
Gnana Kuzhandhai,,"""Aadum Nathane""",Sirkazhi Govindarajan,,,03:57
Gnana Kuzhandhai,,"""Thodudaya Seviyan""",P. Susheela,,,02:23
Gnana Kuzhandhai,,"""Osai Kodutha Nayakiyae""",P. Susheela,,,05:06
Gnana Kuzhandhai,,"""Kolli Malai Kattulle""",L. R. Eswari,,,04:22
Gnana Kuzhandhai,,"""Poothathu Kamalam""",Vani Jairam,,,04:20
Gnana Kuzhandhai,,"""Naavale Senthamizh Naan""",T. M. Soundararajan,,,01:45
Gnana Kuzhandhai,,"""Paalodu Thean Kallanthu""","T. M. Soundararajan, Vani Jairam",,,03:52
Gnana Kuzhandhai,,"""Poombavai""",S. P. Balasubrahmanyam,,,04:32
Gnana Oli,,"""Amma Kannu""","T. M. Soundararajan , P. Susheela",,,03:19
Gnana Oli,,"""Devane Ennai""",T. M. Soundararajan,,,05:01
Gnana Oli,,"""Manamedai""",P. Susheela,,,03:50
Gnana Paravai,,"""Aanavam""",T. M. Soundararajan,,,5:03
Gnana Paravai,,"""Chinna Chinna""",L. R. Eswari,,,3:34
Gnana Paravai,,"""Kaalai Maalai""","K. J. Yesudas , K. S. Chithra",,,4:04
Gnana Paravai,,"""Maakku Maakku""","S. P. Balasubrahmanyam , S. P. Sailaja",,,5:39
Gnana Paravai,,"""Sollithara Nanirukke""","S. P. Balasubrahmanyam , Vani Jairam",,,5:06
Gokulam,,"""Chittada Rakkai""",Swarnalatha,,,4:49
Gokulam,,"""Nane Madai Mela""",Swarnalatha,,,4:12
Gokulam,,"""Puthu Roja Puthiruchu""","Mano , Swarnalatha",,,3:11
Gokulam,,"""Antha Vanam""",K. S. Chithra,,,3:55
Gokulam,,"""Chevanthi Poo""","Unni Menon , P. Susheela",,,5:03
Gokulam,,"""Chinna Chinna Assai""",Sujatha,,,1:32
Gokulam,,"""Pon Malayil""",Uma Ramanan,,,3:12
Gokulam,,"""Therkke Adikkuthu""",K. S. Chithra,,,4:45
Goli Soda Rising,,"""The Identity""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Unknown""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Recognition""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Reunion""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Conflict""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Confrontation""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Twist""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Rescue""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Revelation""",,B. Jeyamohan Vijay Milton,,
Goli Soda Rising,,"""The Betrayal""",,B. Jeyamohan Vijay Milton,,
Golmaal,,"""Hey Paappa""",Suresh Peters,,,4:24
Golmaal,,"""Nee Pesum""","Hariharan , K. S. Chithra",,,4:22
Golmaal,,"""Twinkle Twinkle""",Anuradha Sriram,,,4:24
Golmaal,,"""Vaada Vaana""",Chandrabose,,,4:29
Gomathiyin Kaadhalan,,"""Ananganai Nigarththa Azhagane""",Jikki,K. P. Kamatchisundharam,,02:40
Gomathiyin Kaadhalan,,"""Vaanameedhil Neendhi Odum Vennilaave""",Seerkazhi Govindarajan,Ku. Ma. Balasubramaniam,,03:00
Gomathiyin Kaadhalan,,"""Vaanameedhil Neendhi Odum Vennilaave""",Thiruchi Loganathan,03:00,,
Gomathiyin Kaadhalan,,"""Neelavaan...Pudhumai Nila Ange""",A. M. Rajah,02:06,,
Gomathiyin Kaadhalan,,"""Anbe En Aaruyire Vaaraai""",Seerkazhi Govindarajan & Jikki,04:02,,
Gomathiyin Kaadhalan,,"""Varavendaam Endru Solladi""",A. P. Komala,02:01,,
Gomathiyin Kaadhalan,,"""Kaaviya Kaadhal Vaazhvil Oviyam Naame""",A. M. Rajah & Jikki,02:56,,
Gomathiyin Kaadhalan,,"""Theeraadha Emaatrama""",,,,
Gomathiyin Kaadhalan,,"""Sirpa Kalai Vizhaavin"" ""Imaiyum Vizhuiyum Ennai"" ""Kavignan Paada.... Thonnootru Onbathu"" ""Kula Perumai Veri""",(Radha) Jayalakshmi & T. V. Rathnam (Radha) Jayalakshmi & P. Leela T. V. Rathnam & P. Leela T. V. Rathnam,K. D. Santhanam,,01:12 04:28 01:18 00:38
Gomathiyin Kaadhalan,,"""Minnuvadhellaam Ponnendru Enni""",Seerkazhi Govindarajan & Jikki,03:11,,
Gomathiyin Kaadhalan,,"""Kongu Naattu Sengkarumbe""",Seerkazhi Govindarajan,02:18,,
Gomathiyin Kaadhalan,,"""Kongu Naattu Sengkarumbe""",Thiruchi Loganathan,02:18,,
Gomathiyin Kaadhalan,,"""Thelli Tharum Tinai Maa""",Seerkazhi Govindarajan,Ku. Mu. Annal Thango,,02:41
Good Luck,,"""Kadhal Seiyum""","S. P. Balasubrahmanyam , Sujatha",,,05:16
Good Luck,,"""Itho Intha Nenjodu""","S. P. Balasubrahmanyam, Chitra",,,04:42
Good Luck,,"""July Pathinaaru Vanthaal""","Srinivas , Sujatha, Chithra",,,04:25
Good Luck,,"""Kadikkum Jokku ""","S. N. Surendar , K. Prabhakaran, Subha, Bhuvana, Chorus",,,04:54
Good Luck,,"""Idhayam Thudikkirathe""","K. Prabhakaran, Chithra, Baby Deepika",,,05:04
Good Luck,,"""Naane Nee Nee""","P. Unnikrishnan , Sujatha",,,04:40
Gopura Deepam,,"""Maama Yeai""","Mano , Swarnalatha",,,5:01
Gopura Deepam,,"""Ennudaiya Pondatti""","S. P. Balasubrahmanyam , Mano",,,4:12
Gopura Deepam,,"""En Vaazhkkai Mannavane""",K. S. Chitra,,,5:16
Gopura Deepam,,"""Ullame Unakkuthan""","S. P. Balasubrahmanyam, Anuradha Sriram",,,5:08
Gopura Deepam,,"""Gangai Kaayum""","S. P. Balasubrahmanyam, Swarnalatha",,,4:34
Gopura Deepam,,"""Saanja""","Mano, Swarnalatha",,,4:45
Gopura Vasalile,,"""Kadhal Kavithaigal""","S. P. Balasubrahmanyam , K. S. Chithra",Piraisoodan,,
Gopura Vasalile,,"""Keladi En""",S. P. Balasubrahmanyam,Piraisoodan,,
Gopura Vasalile,,"""Naadam Ezhundadadi""","S. Janaki , K. J. Yesudas",Piraisoodan,,
Gopura Vasalile,,"""Priyasakhi""","Mano , S. Janaki",Vaali,,
Gopura Vasalile,,"""Dhevadhai Pol""","Deepan Chakravarthy , Mano , Malaysia Vasudevan , S. N. Surendar",Vaali,,
Gopura Vasalile,,"""Thalattum Poongkaatru""",S. Janaki,Vaali,,
Goripalayam,,"""Siriki Vadi En Chittu""","Krishnaraj, Ramakrishna, Bhagyaraj, Archana, Geetha",,,03:40
Goripalayam,,"""Otta Odasal""","Sabesh–Murali , Janani",,,05:04
Goripalayam,,"""Oonjal Aadi""",Sathya,,,06:00
Goripalayam,,"""Enna Indha Maatramo""","Karthik , Srimathumitha",,,05:34
Goripalayam,,"""Azhagu Katteri""","Surjith, Vijitha, lyrics tamilamudhan",,,05:17
Goripalayam,,"""Aariraro Kettadhillai""",Vijay Yesudas,,,05:59
Goripalayam,,"""Aapakari Aapakari""","Murali, Senthildass Velayutham , Shyam, Mimicry Senthil",,,04:48
Government Mappillai,,"""Chinna Ponnu""","Krishnaraj, K. S. Chithra",,,4:16
Government Mappillai,,"""Ilavatta Poove""","S. P. Balasubrahmanyam , K. S. Chithra",,,4:39
Government Mappillai,,"""Mama Mama Unnai""","K. S. Chithra, S. P. Balasubrahmanyam",,,4:15
Government Mappillai,,"""Manusanukku""",Malaysia Vasudevan,,,4:11
Government Mappillai,,"""Oru Veppamara Thoppu""","S. P. Balasubrahmanyam, Deva,Swarnalatha",,,4:58
Government Mappillai,,"""Sontham Embathu""",Krishnaraj,,,3:14
Government Mappillai,,"""Sottu Sottaga""","Krishnaraj, K. S. Chithra",,,4:30
Gowravargal,1,"""Aaha Soka Vachan""","Saindhavi , Harish Raghavendra",Ilaya Kamban,,
Gowravargal,2,"""Bramastharam""",Sirkazhi G. Sivachidambaram,Sanjay Ram,,
Gowravargal,3,"""Gowravargal Theme""",Instrumental,,,
Gowravargal,4,"""Manjanathil Ilai""","Manikka Vinayagam , Malathy Lakshman",,,
Gowravargal,5,"""Nandu Pudi""","Suchitra , Rahul Nambiar",,,
Gowravargal,6,"""Nesama Ninacha"" I",Saindhavi,,,
Gowravargal,7,"""Nesama Ninacha"" II",Aalai,,,
Gowravargal,8,"""Shethram Guruthram""","S. P. Balasubrahmanyam , Anupamaa",,,
Gowravargal,9,"""Thaaiya Pola""","Srimathumitha , Saindhavi",,,
Gowri Kalyanam,,"""Varanum Varanum Maharani""","T. M. Soundararajan , P. Susheela",Poovai Senguttuvan,,
Gowri Kalyanam,,"""Thottathu Pole Kanavu Kanden""","T. M. Soundararajan, P. Susheela",,,
Gowri Kalyanam,,"""Vellaikkamalathiley""",Soolamangalam Rajalakshmi,Bharathiyar,,
Gowri Kalyanam,,"""Oruvar Manadhai""",T. M. Soundararajan,Kannadasan,,
Gowri Kalyanam,,"""Thiruppugazhaip Padap Pada""",Soolamangalam Rajalakshmi & P. Suseela,Poovai Senguttuvan,,
Gruhalakshmi,,"""Jaya Jaya Savithri Devi""",,Papanasam Sivan,,
Gruhalakshmi,,"""Kanne Maniye Kannoli Poove""",,Guhan,,
Gruhalakshmi,,"""Vaaraayi Sukumaaraa Yen Manadhil""",,3:19,,
Gruhalakshmi,,"""O Settaiyyaa Sottaiyyaa""",,,,
Gruhalakshmi,,"""Paapam Seydheno""",,,,
Gruhalakshmi,,"""Kaalai Thookki Ninru Aadum""",,Marimutha Pillai,,
Gruhapravesam,,"""Ulagam Perithu""",T. M. Soundararajan,,,04:11
Gruhapravesam,,"""Aiothi Arasalum""","T. M. Soundararajan, Kovai Soundararajan, Sasirekha",,,06:58
Gruhapravesam,,"""Enga Veettu Rani""","T. M. Soundararajan, P. Susheela",,,04:16
Gruhapravesam,,"""Sathiyathin Sothanaikku""",T. M. Soundararajan,,,04:10
Gruhapravesam,,"""Kandru Theadi Varum""",T. M. Soundararajan,,,03:20
Gubeer,1,"""Gubeer""",Naresh Iyer,Karthikeyan,,
Gubeer,2,"""Unmanam - Film Version""",Saicharan,Karthikeyan,,
Gubeer,3,"""Life-Rap""",Brodha V,Karthikeyan,,
Gubeer,4,"""Chennai Instrumental""",,,,
Gubeer,5,"""Unmanam - Dubstep""","Vishal, Aditya",Karthikeyan,,
Gubeer,6,"""Penne""",Aditya,Karthikeyan,,
Gubeer,7,"""Unmanam""",Saicharan,Karthikeyan,,
Gubeer,8,"""Veerathuku Madurai""",Velmurugan,Karthikeyan,,
Gumastha,,"""Aadhari Jegadheeswari Amba""",B. Jayamma,Maruthakasi,C. N. Pandurangam,
Gumastha,,"""Aiyavin Penndattikku""","M. L. Vasanthakumari , K. R. Chellamuthu",S. D. S. Yogi,,
Gumastha,,"""Aasaiye Veen Aanadhe!""",P. Leela,Maruthakasi,Pandurangam,
Gumastha,,"""Sopalangi Mappillaikku""","Rani , G. Kasthoori & Party",Maruthakasi,G. Ramanathan,
Gumastha,,"""Inbamo! Thunbamo! Edhuvume Nilladhe!""",Raja,Maruthakasi,Pandurangam,
Gumastha,,"""Theeradha Varumaiyudan""",B. Jayamma,Maruthakasi,,
Gumastha,,"""Hey Manidha! Enge Odugirai?""",Nagayya,Nagayya,,
Gumastha,,"""Dance Baby Dance!""",M. L. Vasanthakumari,Maruthakasi,,
Gumasthavin Magal,,"""Ennai Paarthu""",Sirkazhi Govindarajan,,,
Gumasthavin Magal,,"""Ezhudhi Ezhudhi""","Soolamangalam Rajalakshmi , M. R. Vijaya",,,
Gumasthavin Magal,,"""Kaalam Seiyum""",Malaysia Vasudevan,,,
Gumasthavin Magal,,"""Therodum Veedhiyile""",Soolamangalam Rajalakshmi,,,
Gurupaarvai,,"""Nandavana Poove""","Anuradha Sriram , P. Unnikrishnan",Vaasan,,4:56
Gurupaarvai,,"""Podu Jeans""","Swarnalatha , Krishnaraj",Vaali,,5:08
Gurupaarvai,,"""Ek Ladka""","Mano , K. S. Chithra",5:00,,
Gurupaarvai,,"""Parvai Parvai""","Krishnaraj, Swarnalatha",Arivumathi,,5:03
Gurupaarvai,,"""Ding Dong""",Swarnalatha,5:08,,
Gurupaarvai,,"""Vekkali Amman""","Sujatha, Swarnalatha",R. V. Udayakumar,,2:04
Harichandra,,"""Andhanarum Dheiveega Amararum""",T. M. Soundararajan,Thanjai N. Ramaiah Dass,,01:29
Harichandra,,"""Oraam Maadham Udaladhu Thalarndhu""",R. Balasaraswathi Devi,02:04,,
Harichandra,,"""Kaasiyil Vaazhum Karunai Kadale""",T. M. Soundararajan,03:25,,
Harichandra,,"""Aadum Mayile Venumaa""",K. Rani & Udutha Sarojini,03:19,,
Harichandra,,"""Ulagam Ariyaadha Pudhumai""",T. M. Soundararajan,04:01,,
Harichandra,,"""Naranaiyum Nee Padaitthaai""",R. Balasaraswathi Devi,03:05,,
Harichandra,,"""Yaar Poi Solluvaar""",T. M. Soundararajan,03:44,,
Harichandra,,"""Idhu Ingeyirukku Adhu Angeyirukku""",S. C. Krishnan & S. V. Ponnusamy,04:06,,
Harichandra,,"""Aaradi Kalli Nee Thaan""",T. M. Soundararajan,00:37,,
Harichandra,,"""Aadhiyilum Paraiyan Alla""",T. M. Soundararajan,01:55,,
Harichandra,,"""Aadhavaa... Ponnudane Porul Niraindhu""",T. M. Soundararajan & S. V. Ponnusami,04:24,,
Harichandra,,"""Needi Dhevam Ulagil""",T. M. Soundararajan & Udutha Sarojini,01:54,,
Harichandra,,"""Vinnavar Kadhiye Potri""",T. M. Soundararajan,Udhayakumar,,01:13
Hello,,"""Salam Gulamu""",Sukhwinder Singh,Na. Muthukumar,,05:20
Hello,,"""Chella Chella""","Srinivas , Anuradha Sriram",Vairamuthu,,05:07
Hello,,"""B.B.C Pola""",S. P. Balasubrahmanyam,04:52,,
Hello,,"""Valantines""","Shankar Mahadevan , Sabesh",05:45,,
Hello,,"""Intha Nimisham""","Hariharan , K. S. Chithra",05:45,,
Hello,,"""Salam Gulamu"" II",Naveen,Na. Muthukumar,,05:21
Hello Mister Zamindar,,"""Sondhamum Ille Oru Bandhamum""",G. K. Venkatesh,,,03:12
Hello Mister Zamindar,,"""Ilamai Koluvirukkum Iyarkai"" – Male",P. B. Srinivas,,,03:01
Hello Mister Zamindar,,"""Hello Mister Jameendar""","P. B. Srinivas, P. Susheela",,,03:25
Hello Mister Zamindar,,"""Ilamai Koluvirukkum Iyarkai"" – Female",P. Susheela,,,02:55
Hello Mister Zamindar,,"""Kaadhal Nilave Kanmani Radha""",P. B. Srinivas,,,03:51
Hello Mister Zamindar,,"""Thottathil Poove""",P. Susheela,,,02:13
Hello Mister Zamindar,,"""Pattinikku Oru Manasu""",K. Jamuna Rani,,,03:03
Hello Mister Zamindar,,"""Kaadhal Nilave Kanmani Radha"" – Sad",P. B. Srinivas,,,02:18
Hello Yaar Pesurathu,,"""Naal Nalla Naal""",S. Janaki,Vairamuthu,,
Hello Yaar Pesurathu,,"""Hello Aasai Deepam""","S. Janaki, Deepan Chakravarthy",Kuruvikkarambai Shanmugham,,
Hello Yaar Pesurathu,,"""Vaanilae Oru Thenila""","S. Janaki, Malaysia Vasudevan",Muthulingam,,
Hello Yaar Pesurathu,,"""Pachchai Paasi""","Malaysia Vasudevan, S. P. Sailaja",Gangai Amaran,,
Hey! Nee Romba Azhaga Irukke,,"""Yamini Yamini""",Harish Raghavendra,Pa. Vijay,,
Hey! Nee Romba Azhaga Irukke,,"""Thottu Thottu""","Ramesh Vinayakam , Srivardhini",Palani Bharathi,,
Hey! Nee Romba Azhaga Irukke,,"""Oru Kadhal Vandicho""",Shankar Mahadevan,Thamarai,,
Hey! Nee Romba Azhaga Irukke,,"""Inni Naanum Naanilai""","Srinivas , Sujatha , Sunitha Sarathy",Thamarai,,
